DEPT,CALI,DT,FTEMP,GR,ILD,NPHI,PERM_ATAGA,PERM_EFF_ATAGA,PHID_ATAGA,PHIE_ATAGA,RHOB,SP,VSH,Facies,Porosity,Sw,Perm,Eff_Perm,Vsh
8201.0,11.734398842,103.90000916,74.98994,43.531299591,1.9893000126,29.795099258,30580.273438,30580.273438,0.3399394751,0.3099687099,2.089099884,0.0,0.0881649703,Sand,0.35056257250000006,0.04777170884185444,30580.273438,30580.273438,0.29020866394
8201.5,11.734398842,104.19999695,74.99451,38.125,1.9862999916,30.013999939,33206.878906,33206.878906,0.3433939219,0.3183638453,2.0834000111,0.0,0.0728902444,Sand,0.3541249930624999,0.04660651770311408,33206.878906,33206.878906,0.25416666666666665
8202.0,11.734398842,104.5,74.99908,35.8125,1.981400013,30.861700058,37279.503906,37279.503906,0.3483030498,0.3250433207,2.0752999783,0.0,0.0667801797,Sand,0.35918751356250006,0.04524645414246031,37279.503906,37279.503906,0.23875
8202.5,11.734398842,103.6000061,75.00366,36.781299591,1.9696999788,30.687000275,41492.644531,41492.644531,0.3529091477,0.3284489214,2.0676999092,0.0,0.069310233,Sand,0.36393755675000006,0.04739562543092457,41492.644531,41492.644531,0.24520866394
8203.0,11.734398842,102.59999847,75.00823,38.593799591,1.9512000084,32.170101166,39614.464844,39614.464844,0.3509090245,0.3248859644,2.0710000992,0.0,0.0741589591,Sand,0.36187493800000003,0.05784649206259196,39614.464844,39614.464844,0.25729199727333335
8203.5,11.734398842,101.69999695,75.0128,40.625,1.9375,33.235401154,33930.242188,33930.242188,0.3443031013,0.3168358505,2.0818998814,0.0,0.0797764063,Sand,0.355062574125,0.0693596664710392,33930.242188,33930.242188,0.2708333333333333
8204.0,11.734398842,100.59999847,75.01737,41.25,1.9355000257,33.394199371,29272.449219,29272.449219,0.3381212652,0.3105491698,2.092099905,0.0,0.0815449581,Sand,0.348687559375,0.07485296420392507,29272.449219,29272.449219,0.275
8204.5,11.734398842,100.90000153,75.02195,41.343799591,1.9423999786,33.115001678,27686.443359,27686.443359,0.3358181417,0.3083441854,2.0959000587,-0.5,0.0818120316,Sand,0.3463124633125001,0.0732382631809313,27686.443359,27686.443359,0.27562533060666666
8205.0,11.734398842,101.1000061,75.02652,40.093799591,1.9472999573,33.048999786,27849.789063,27849.789063,0.3360606134,0.3097510338,2.0954999924,-0.5,0.0782882273,Sand,0.3465625047499999,0.07072299481627053,27849.789063,27849.789063,0.26729199727333336
8205.5,11.734398842,101.5,75.03109,43.375,1.9443000555,31.707799911,28679.132813,28679.132813,0.3372727931,0.307692945,2.0934998989,-0.5,0.0877030343,Sand,0.34781256318749987,0.07126813976843038,28679.132813,28679.132813,0.2891666666666667
8206.0,11.734398842,101.69999695,75.03566,42.6875,1.9355000257,29.791999817,30580.273438,30580.273438,0.3399394751,0.31081146,2.089099884,-0.5,0.0856859013,Sand,0.35056257250000006,0.07352442048194574,30580.273438,30580.273438,0.28458333333333335
8206.5,11.734398842,101.90000153,75.04024,40.343799591,1.9315999746,29.144300461,28428.044922,28428.044922,0.3369090855,0.310297668,2.0940999985,-0.5,0.0789869055,Sand,0.34743750093750003,0.07759897999923515,28428.044922,28428.044922,0.26895866394
8207.0,11.734398842,102.30000305,75.04481,35.593799591,1.9326000214,30.128499985,25562.550781,25562.550781,0.3325454593,0.3105260134,2.1013000011,-0.5,0.0662148818,Sand,0.3429374993125001,0.08028362423818003,25562.550781,25562.550781,0.23729199727333333
8207.5,11.734398842,101.90000153,75.04938,38.343799591,1.9364999533,30.642900467,26254.078125,26254.078125,0.3336364031,0.3091204166,2.0994999409,-1.0,0.0734811053,Sand,0.34406253693750005,0.07763752902518595,26254.078125,26254.078125,0.25562533060666665
8208.0,11.734398842,102.40000153,75.05395,45.0,1.9364999533,30.680799484,25829.541016,25829.541016,0.3329696953,0.3021476269,2.1006000042,-0.5,0.092567198,Sand,0.34337499737500005,0.07812056106440712,25829.541016,25829.541016,0.3
8208.5,11.734398842,101.90000153,75.05852,47.4375,1.9345999956,31.289699554,30491.5,30491.5,0.3398182392,0.30579409,2.0892999172,-1.0,0.1001245454,Sand,0.35043755175,0.07404390357097368,30491.5,30491.5,0.31625
8209.0,11.734398842,101.40000916,75.0631,45.0,1.9345999956,33.010601044,31708.888672,31708.888672,0.3414545059,0.3098470271,2.0866000652,-0.5,0.092567198,Sand,0.3521249592500001,0.07284580889986259,31708.888672,31708.888672,0.3
8209.5,11.734398842,101.40000916,75.06767,44.593799591,1.9355000257,33.03509903,35216.59375,35216.59375,0.3458786905,0.314286679,2.0793001652,-0.5,0.0913384557,Sand,0.3566873967500001,0.06915795126970925,35216.59375,35216.59375,0.29729199727333333
8210.0,11.734398842,101.40000916,75.07224,43.093799591,1.9394999743,32.910198212,32638.050781,32638.050781,0.3426666856,0.3128974736,2.0845999718,-0.5,0.0868750885,Sand,0.35337501762500007,0.06960567948905305,32638.050781,32638.050781,0.2872919972733333
8210.5,11.734398842,101.80000305,75.07681,41.5,1.9492000341,31.980899811,32450.302734,32450.302734,0.3424242139,0.3142571747,2.0850000381,-0.5,0.0822577477,Sand,0.3531249761875,0.0651318952126978,32450.302734,32450.302734,0.27666666666666667
8211.0,11.734398842,102.40000153,75.08138,37.4375,1.9678000212,33.213798523,31938.945313,31938.945313,0.3417575061,0.3174762726,2.0861001015,-0.5,0.071048148,Sand,0.3524374365625,0.05670872659223636,31938.945313,31938.945313,0.24958333333333332
8211.5,11.734398842,102.0,75.08595,39.875,1.9873000383,32.460800171,30669.160156,30669.160156,0.3400605619,0.3136449158,2.0889000893,-0.5,0.0776792169,Sand,0.3506874441875,0.04863806149486394,30669.160156,30669.160156,0.2658333333333333
8212.0,11.734398842,101.19999695,75.09052,40.75,2.0020000935,32.296798706,25791.28125,25791.28125,0.332909137,0.3062335849,2.1006999016,-0.5,0.0801285878,Sand,0.34331256149999995,0.046984249404127265,25791.28125,25791.28125,0.27166666666666667
8212.5,11.734398842,101.40000916,75.09509,39.125,2.0020000935,31.812299728,24555.210938,24555.210938,0.3309090436,0.3058893383,2.1040000916,-0.5,0.0756090432,Sand,0.3412499427499999,0.048479084438838416,24555.210938,24555.210938,0.2608333333333333
8213.0,11.734398842,101.69999695,75.09967,37.625,1.9862999916,32.089401245,26370.875,26370.875,0.3338181674,0.30993402,2.0992000103,-1.0,0.0715483725,Sand,0.3442499935624999,0.053782401936948054,26370.875,26370.875,0.25083333333333335
8213.5,11.734398842,102.5,75.10424,36.3125,1.9687999487,31.926700592,27362.376953,27362.376953,0.3353333473,0.3125036359,2.0966999531,-1.0,0.0680806562,Sand,0.34581252931250006,0.061000623484966376,27362.376953,27362.376953,0.24208333333333334
8214.0,11.734398842,102.19999695,75.10881,35.906299591,1.9551000595,31.271400452,25714.849609,25714.849609,0.332787931,0.3104833961,2.1008999348,-1.0,0.0670232922,Sand,0.3431875407499999,0.06939877187148358,25714.849609,25714.849609,0.23937533060666666
8214.5,11.734398842,101.90000153,75.11339,35.531299591,1.9472999573,30.894500732,23724.761719,23724.761719,0.3295150697,0.3077493608,2.1063001156,-1.0,0.0660537183,Sand,0.3398124277500001,0.07548789326002914,23724.761719,23724.761719,0.23687533060666666
